"kanonisch";"stufe";"profil";"leitidee";"thema";"zeilen";"typen";"bemerkung"
"binomische-formeln";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"bruchrechnung";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"brueche-dezimalzahlen";"I";"msa";"Zahlen und Operationen";"Brüche und Dezimalzahlen";"17";"5";""
"daten";"I";"msa";"Daten und Zufall";"Kenngrößen";"22";"7";""
"daten";"I";"msa";"Daten und Zufall";"Diagramme lesen und beurteilen";"11";"6";""
"daten";"I";"msa";"Daten und Zufall";"Daten darstellen";"7";"5";""
"daten";"II";"fhr";"Stochastik";"Statistische Kenngrößen";"18";"6";""
"daten";"II";"fhr";"Stochastik";"Daten darstellen und aufbereiten";"8";"3";""
"daten";"II";"iqb";"Stochastik";"Lage- und Streumaße einer Stichprobe";"4";"4";""
"einheiten";"I";"msa";"Größen und Messen";"Einheiten umrechnen";"14";"10";""
"einheiten";"II";"fhr";"Grundlagen";"Größen und Einheiten";"9";"6";"Sammelthema; Typen gemischt"
"flaechen";"I";"msa";"Größen und Messen";"Flächeninhalt und Umfang";"26";"18";"enthält Kreisaufgaben; kreis hat kein msa-Thema"
"koerper";"I";"msa";"Größen und Messen";"Volumen und Oberfläche";"16";"13";"enthält Kegel/Pyramide; pyramide-kegel-kugel hat kein msa-Thema"
"koerper";"I";"msa";"Raum und Form";"Körper, Netze, Schrägbilder";"12";"9";""
"kreis";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"lineare-funktionen";"I";"msa";"Gleichungen und Funktionen";"Lineare Funktionen";"28";"19";""
"lineare-gleichungen";"I";"msa";"Gleichungen und Funktionen";"Lineare Gleichungen";"9";"4";""
"lineare-gleichungssysteme";"I";"msa";"Gleichungen und Funktionen";"Lineare Gleichungssysteme";"6";"3";""
"lineare-gleichungssysteme";"II";"iqb";"Analytische Geometrie";"Lineare Gleichungssysteme";"14";"12";""
"potenz-exponentialfunktionen";"I";"msa";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"21";"10";""
"potenzen-wurzeln";"I";"msa";"Zahlen und Operationen";"Potenzen und Wurzeln";"6";"3";""
"potenzen-wurzeln";"I";"msa";"Zahlen und Operationen";"Zehnerpotenzen und Näherungswerte";"6";"2";"Typen sind alle Zehnerpotenzen"
"prozentrechnung";"I";"msa";"Zahlen und Operationen";"Prozentrechnung";"22";"9";""
"prozentrechnung";"I";"fhr";"Grundlagen";"Prozentrechnung";"1";"1";""
"pyramide-kegel-kugel";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"pythagoras";"I";"msa";"Größen und Messen";"Satz des Pythagoras";"17";"7";""
"quadratische-funktionen";"I";"msa";"Gleichungen und Funktionen";"Quadratische Funktionen";"31";"17";""
