"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Extrempunkt an vorgegebener Stelle nachweisen";"Analysis";"Kurvenuntersuchung";"Für eine genannte Stelle zeigen, dass dort ein Hoch- oder Tiefpunkt liegt: erste Ableitung null (notwendige Bedingung) und Vorzeichen der zweiten Ableitung (hinreichende Bedingung).";"2026MgrundlegendAAnalysis11-a";"neu"
"Abstand zweier Extrempunkte über die Punktsymmetrie berechnen";"Analysis";"Kurvenuntersuchung";"Aus einem bekannten Extrempunkt und der Punktsymmetrie des Graphen zum Ursprung den gegenüberliegenden Extrempunkt gewinnen und den Abstand der beiden Punkte berechnen.";"2026MgrundlegendAAnalysis11-b";"neu"
"Flächeninhalt eines Dreiecks aus Extrempunkten der Sinusfunktion berechnen";"Analysis";"Funktionsklassen und Eigenschaften";"Aufeinanderfolgende Extrempunkte von sin x als Eckpunkte eines Dreiecks lesen und dessen Flächeninhalt aus Grundseite (Vielfaches von π) und Höhe berechnen.";"2026MgrundlegendAAnalysis12-a";"neu"
"Abstand von Extrempunkten einer gestreckten Sinusfunktion vergleichen";"Analysis";"Funktionsklassen und Eigenschaften";"Aus den Parametern a und b in a · sin(b · x) die Streckung des Graphen in x- und y-Richtung erkennen und daraus den Abstand aufeinanderfolgender Extrempunkte mit dem der Grundfunktion vergleichen, ohne zu rechnen.";"2026MgrundlegendAAnalysis12-b";"neu"
"Bestimmtes Integral einer ganzrationalen Funktion berechnen";"Analysis";"Stammfunktion und Hauptsatz";"Stammfunktion einer ganzrationalen Funktion bilden und den Wert des Integrals über ein Intervall mit dem Hauptsatz berechnen.";"2026MgrundlegendAAnalysis13-a";"neu"
"Summe zweier Integrale als Flächeninhalt beurteilen";"Analysis";"Flächeninhalt durch Integration";"Beurteilen, ob die Summe von Integralen über Teilintervalle den Inhalt der vom Graphen und der x-Achse eingeschlossenen Fläche liefert, anhand des Vorzeichens der Integrale unterhalb der Achse.";"2026MgrundlegendAAnalysis13-b";"neu"
"Graph der Funktion vom Graphen der Ableitung unterscheiden";"Analysis";"Ableitungsgraph und Funktionsgraph";"Von zwei abgebildeten Graphen begründen, welcher zur Funktion und welcher zur Ableitung gehört, über die Steigung des einen und das Vorzeichen des anderen in einem Bereich.";"2026MgrundlegendAAnalysis14-a";"neu"
"Integral einer Differenzfunktion grafisch abschätzen";"Analysis";"Flächeninhalt durch Integration";"Das Integral über die Differenz zweier Funktionen als Fläche zwischen ihren Graphen deuten, diese in der Abbildung markieren und mit einem Vergleichsrechteck gegen eine Schranke abschätzen.";"2026MgrundlegendAAnalysis14-b";"neu"
"Steigung einer Geraden am Graphen begründen";"Analysis";"Ableitung und Änderungsrate";"Den Ableitungswert einer linearen Funktion als ihre Steigung erkennen und diese am abgebildeten Graphen über ein Steigungsdreieck begründen.";"2026MgrundlegendAAnalysis21-a";"neu"
"Ableitung eines Produkts aus Graphenwerten mit der Produktregel bestimmen";"Analysis";"Ableitungsregeln";"Die Ableitung von f · g an einer Stelle mit der Produktregel berechnen, wobei Funktionswerte und Steigungen von f und g nur aus abgebildeten Graphen abgelesen werden, etwa f' = 0 an einem Extrempunkt.";"2026MgrundlegendAAnalysis21-b";"neu"
"Monotonie aus dem Vorzeichen der Ableitung am Graphen begründen";"Analysis";"Ableitungsgraph und Funktionsgraph";"Aus dem abgebildeten Graphen der Ableitung über deren Vorzeichen links und rechts einer Nullstelle das Monotonieverhalten der Funktion begründen.";"2026MgrundlegendAAnalysis22-a";"neu"
"Aussage über Extrempunkte einer Stammfunktion beurteilen";"Analysis";"Stammfunktion und Hauptsatz";"Eine Behauptung über Extrempunkte einer Stammfunktion F beurteilen, indem F' = f genutzt und das Vorzeichen von f aus dem Graphen der Ableitung f' und einem Funktionswert erschlossen wird.";"2026MgrundlegendAAnalysis22-b";"neu"
"Rechten Winkel und Kathetenlängen eines Dreiecks nachweisen";"Analytische Geometrie";"Orthogonalität";"Über das Skalarprodukt zweier Seitenvektoren den rechten Winkel eines Dreiecks nachweisen und die Längen der Katheten als Vektorbeträge berechnen.";"2026MgrundlegendAAGLAA111-a";"neu"
"Höhe einer Pyramide aus dem Volumen bestimmen";"Analytische Geometrie";"Flächeninhalt und Volumen im Raum";"Aus dem gegebenen Volumen einer Pyramide und ihrer Grundfläche die Höhe bestimmen, wobei die Höhenkante über Skalarprodukte als senkrecht zur Grundfläche erkannt wird.";"2026MgrundlegendAAGLAA111-b";"neu"
"Rechten Winkel eines Dreiecks mit Parameter nachweisen";"Analytische Geometrie";"Orthogonalität";"Zeigen, dass ein Dreieck, dessen Eckpunkt einen Parameter enthält, für jeden Parameterwert einen rechten Winkel hat, weil das Skalarprodukt der Seitenvektoren identisch null ist.";"2026MgrundlegendAAGLAA112-a";"neu"
"Parameter aus der Gleichschenkligkeit eines Dreiecks berechnen";"Analytische Geometrie";"Abstände";"Den Parameter eines Eckpunkts so bestimmen, dass zwei Seiten eines Dreiecks gleich lang sind, über das Gleichsetzen von Vektorbeträgen und Lösen der Wurzelgleichung.";"2026MgrundlegendAAGLAA112-b";"neu"
"Lösung eines unterbestimmten Gleichungssystems unter Zusatzbedingungen auswählen";"Analytische Geometrie";"Lineare Gleichungssysteme";"Bei einem linearen Gleichungssystem mit unendlich vielen Lösungen die Lösungsschar mit einem Parameter angeben und aus Bedingungen wie Vorzeichen und Ganzzahligkeit eine bestimmte Lösung auswählen.";"2026MgrundlegendAAGLAA12";"neu"
"Punktprobe an einer Ebenengleichung durchführen";"Analytische Geometrie";"Lagebeziehungen";"Die Koordinaten eines Punktes in die Koordinatengleichung einer Ebene einsetzen und aus dem Erfülltsein der Gleichung auf die Lage in der Ebene schließen.";"2026MgrundlegendAAGLAA211-a";"neu"
"Orthogonalität von Gerade und Ebene über Normalen- und Richtungsvektor begründen";"Analytische Geometrie";"Orthogonalität";"Begründen, dass eine Gerade senkrecht auf einer Ebene steht, weil ihr Richtungsvektor ein Vielfaches des Normalenvektors der Ebene ist.";"2026MgrundlegendAAGLAA211-a";"neu"
"Spiegelpunkt an einer Ebene über den bekannten Lotfußpunkt bestimmen";"Analytische Geometrie";"Spiegelung";"Den Spiegelpunkt eines Punktes an einer Ebene bestimmen, wenn der Lotfußpunkt bereits bekannt ist, indem der Verbindungsvektor vom Lotfußpunkt aus in Gegenrichtung abgetragen wird.";"2026MgrundlegendAAGLAA211-b";"neu"
"Koordinaten eines Eckpunkts eines Prismas angeben";"Analytische Geometrie";"Punkte und Strecken im Koordinatensystem";"Aus gegebenen Eckpunkten eines geraden Prismas und dem Schrägbild die Koordinaten eines weiteren Eckpunkts der Deckfläche angeben.";"2026MgrundlegendAAGLAA213-a";"neu"
"Dreieck in ein Schrägbild einzeichnen";"Analytische Geometrie";"Punkte und Strecken im Koordinatensystem";"Einen durch Koordinaten gegebenen Punkt auf einer Kante im Schrägbild verorten und das Dreieck aus ihm und zwei Eckpunkten des Körpers einzeichnen.";"2026MgrundlegendAAGLAA213-b";"neu"
"Parameter eines Punktes aus einer Flächengleichheit bestimmen";"Analytische Geometrie";"Flächeninhalt und Volumen im Raum";"Den Parameter eines Punktes so bestimmen, dass zwei Dreiecke mit gemeinsamer Seite gleichen Flächeninhalt haben, über den Vergleich der zugehörigen Höhen oder Katheten.";"2026MgrundlegendAAGLAA213-c";"neu"
"Punkt aus Orthogonalitäts- und Ebenenbedingung bestimmen";"Analytische Geometrie";"Orthogonalität";"Einen Punkt mit teilweise bekannten Koordinaten aus der Bedingung, dass zwei Verbindungsvektoren orthogonal sind, und einer Ebenengleichung über ein lineares Gleichungssystem bestimmen.";"2026MgrundlegendAAGLAA221";"neu"
"Volumen eines Prismas über einer Raute berechnen";"Analytische Geometrie";"Flächeninhalt und Volumen im Raum";"Das Volumen eines geraden Prismas berechnen, dessen Grundfläche eine Raute mit Eckpunkten auf den Koordinatenachsen ist, über die Rautenfläche aus den Diagonalen und die Höhe.";"2026MgrundlegendAAGLAA222-a";"neu"
"Ortsvektor eines gedrehten Punktes als Term aufstellen";"Analytische Geometrie";"Vektoren und Rechenoperationen";"Für einen Punkt, der durch Drehung eines Körpers um eine Kante in eine Koordinatenebene kommt, den Ortsvektor als Summe aus einem Ortsvektor und einem auf die richtige Länge gebrachten, zur Drehkante senkrechten Vektor aufstellen.";"2026MgrundlegendAAGLAA222-b";"neu"
"Trefferwahrscheinlichkeit aus dem ganzzahligen Erwartungswert im Diagramm ermitteln";"Stochastik";"Kenngrößen von Verteilungen";"Aus dem Säulendiagramm einer Binomialverteilung mit bekanntem n die Lage des ganzzahligen Erwartungswerts ablesen und daraus p über n · p bestimmen.";"2026MgrundlegendAStochastik11-a";"neu"
"Werte zu Wahrscheinlichkeitsbedingungen aus dem Säulendiagramm ablesen";"Stochastik";"Binomialverteilung";"Aus dem Säulendiagramm einer Verteilung die Werte k ablesen, für die eine Einzel- oder eine kumulierte Wahrscheinlichkeit eine vorgegebene Bedingung erfüllt.";"2026MgrundlegendAStochastik11-b";"neu"
"Term für eine Wahrscheinlichkeit einer Bernoulli-Kette angeben";"Stochastik";"Binomialverteilung";"Für ein Ereignis in einer Bernoulli-Kette einen Rechenterm mit Potenzen von p und 1 − p und der Anzahl der Anordnungen angeben, ohne den Wert zu berechnen.";"2026MgrundlegendAStochastik12-a";"neu"
"Ergebnisse zum Gegenereignis zweier Ereignisse aufzählen";"Stochastik";"Ereignisse und Mengenoperationen";"Alle Ergebnisse eines mehrstufigen Experiments aufzählen, bei denen keines von zwei in Worten beschriebenen Ereignissen eintritt.";"2026MgrundlegendAStochastik12-b";"neu"
"Fehlende Wahrscheinlichkeiten im Baumdiagramm über die Pfadregel ermitteln";"Stochastik";"Baumdiagramm und Pfadregeln";"In einem teilweise beschrifteten Baumdiagramm fehlende Ast- oder Pfadwahrscheinlichkeiten aus gegebenen Pfad- und Astwerten über die Pfadmultiplikation bestimmen.";"2026MgrundlegendAStochastik13-a";"neu"
"Bedingte Wahrscheinlichkeit aus dem Baumdiagramm mit einer Schranke vergleichen";"Stochastik";"Bedingte Wahrscheinlichkeit und Bayes";"Eine bedingte Wahrscheinlichkeit als Quotient aus einem Pfad und der Summe der Pfade mit der Bedingung berechnen und mit einer vorgegebenen Schranke vergleichen.";"2026MgrundlegendAStochastik13-b";"neu"
"Sektorwinkel eines Glücksrads aus einer Wahrscheinlichkeitsbedingung berechnen";"Stochastik";"Zufallsexperimente und Urnenmodelle";"Die Sektorwahrscheinlichkeit eines zweifarbigen Glücksrads aus einer Bedingung an ein zweistufiges Ergebnis über eine quadratische Gleichung bestimmen und in den Mittelpunktswinkel umrechnen.";"2026MgrundlegendAStochastik21";"neu"
"Parameter einer Binomialverteilung aus Erwartungswert und Standardabweichung bestimmen";"Stochastik";"Kenngrößen von Verteilungen";"Aus μ = n · p und σ = √(n · p · (1 − p)) die Parameter n und p einer Binomialverteilung bestimmen.";"2026MgrundlegendAStochastik22";"neu"
